id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
813,233829,JG151021,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,157,157
814,233829,JG151024,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,158,158
815,233829,JG151026,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,159,159
816,233829,JG151029,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,160,160
817,233829,JG151031,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,161,161
818,233829,JG151032,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,162,162
819,233829,JG161001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,163,163
820,233829,JG161007,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,164,164
821,233829,JG171004,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,165,165
822,233829,JG171005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,166,166
823,233829,JG171006,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,167,167
824,233829,JG171020,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,168,168
825,233829,JG171022,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,169,169
826,233829,JG171023,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,170,170
827,233829,JG171024,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,171,171
828,233829,JG171025,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,172,172
829,233829,JG171026,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,173,173
830,233829,JG171027,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,174,174
831,233829,JG171029,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,175,175
832,233829,JG171030,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,176,176
833,233829,JG171031,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,177,177
834,233829,JG171033,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,178,178
835,233829,JG171034,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,179,179
836,233829,JG171035,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,180,180
837,233829,JG171036,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,181,181
838,233829,JG171037,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,182,182
839,233829,JG171039,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,183,183
840,233829,JG171044,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,184,184
841,233829,JG171046,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,185,185
842,233829,JG171054,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,186,186
843,233829,JG171055,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,187,187
844,233829,JG171056,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,188,188
845,233829,JG171059,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,189,189
846,233829,JG171802,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,190,190
847,233829,JG171803,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,191,191
848,233829,JG181203,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,192,192
849,233829,JG181204,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,193,193
850,233829,JG181205,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,194,194
851,233829,JG181206,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,195,195
852,233829,JG181207,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,196,196
853,233829,JG181210,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,197,197
854,233829,JG181225,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,198,198
855,233829,JG181226,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,199,199
856,233829,JG181227,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,200,200
857,233829,JG181228,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,201,201
858,233829,JG181229,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,202,202
859,233829,JG181230,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,203,203
860,233829,JG181232,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,204,204
861,233829,JG181236,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,205,205
862,233829,JG181238,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,206,206
863,233829,JG181239,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,207,207
864,233829,JG181240,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,208,208
865,233829,JG181242,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,209,209
866,233829,JG181243,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,210,210
867,233829,JG181245,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,211,211
868,233829,JG181249,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,212,212
869,233829,JG181250,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,213,213
870,233829,JG181252,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,214,214
871,233829,JG181255,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,215,215
872,233829,JG181257,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,216,216
873,233829,JG181258,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,217,217
874,233829,JG181259,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,218,218
875,233829,JG181265,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,219,219
876,233829,JG181273,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,220,220
877,233829,JG181400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,221,221
878,233829,JG181403,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,222,222
879,233829,JG181406,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,223,223
880,233829,JG181408,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,224,224
881,233829,JG191000,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,225,225
882,233829,JG191003,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,226,226
883,233829,JG191009,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,227,227
884,233829,JG191011,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,228,228
885,233829,JG231001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,229,229
886,233829,JG231209,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,230,230
