UCN_NO,CHASSIS,SERVICE_TYPE,VEH_DIS_DT,WERKS,MATNR,KUNNR,PRODUCT_TYPE,KMS_FROM,KMS_TO,DAYS_LIMIT_FROM,DAYS_LIMIT_TO,CREATED_ON,CREATED_AT,STATUS,REMARKS
AA02567,MD2A18AZ7DWC01925,3,30.06.2013,WA01,00DZ103W,10202,3700DZFS,1,15000,1,260,23.05.2014,7:15:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA03365,MD2A18AZ8DRC00071,1,25.06.2013,PT11,00DZ103W,10086,3700DZFS,1,2000,1,60,23.05.2014,7:15:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA14095,MD2A18AZXDRC89738,1,17.06.2013,PT11,00DZ103F,10162,3700DZFS,1,2000,1,60,23.05.2014,7:15:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA15369,MD2A18AZXDWC02163,1,13.06.2013,WA01,00DZ103W,10401,3700DZFS,1,2000,1,60,23.05.2014,7:16:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA15968,MD2A22EZ0DCC39115,2,02.06.2013,CH01,00PD014K,10274,3700PDFS,1,8000,1,260,23.05.2014,7:18:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18039,MD2A22EZXDCC41163,2,12.06.2013,CH01,00PD014M,10192,3700PDFS,1,8000,1,260,23.05.2014,7:16:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18255,MD2A36FZ2DCC89422,3,02.06.2013,CH01,00JL025Q,10677,3700JLFS,1,15000,1,260,23.05.2014,7:16:45,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18777,MD2A36FZ9DCC89739,1,08.06.2013,CH01,00JL025N,10479,3700JLFS,1,2000,1,60,23.05.2014,7:16:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA35386,MD2A11CZ2EWB31708,1,17.05.2014,WA01,00DH152V,12029,3700DHFS,1,2000,1,60,23.05.2014,7:18:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA38416,MD2A18AZ4EWB14632,3,16.05.2014,WA01,00DZ104G,10375,3700DZFS,1,15000,1,260,23.05.2014,7:12:24,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA43101,MD2A11CZ1DCB67440,2,21.05.2013,CH01,00DH155G,10400,3700DHFS,1,8000,1,260,23.05.2014,7:12:05,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA49496,MD2A18AZ1EWB00123,2,17.05.2014,WA01,00DZ104G,11411,3700DZFS,1,8000,1,260,23.05.2014,7:18:47,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA50211,MD2A18AZ4EWB14677,2,18.05.2014,WA01,00DZ104G,10432,3700DZFS,1,8000,1,260,23.05.2014,7:19:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA50520,MD2A11CZXECB87901,3,19.05.2014,CH01,00DH152V,11690,3700DHFS,1,15000,1,260,23.05.2014,7:19:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA52706,MD2A18AZ1EWB01496,1,21.05.2014,WA01,00DZ104G,10694,3700DZFS,1,2000,1,60,23.05.2014,7:19:59,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA67107,MD2A11CZ0EWB34042,2,21.05.2014,WA01,00DH152V,10760,3700DHFS,1,8000,1,260,23.05.2014,7:19:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA73394,MD2A11CZ2DCC96609,2,11.06.2013,CH01,00DH155F,11208,3700DHFS,1,8000,1,260,23.05.2014,7:12:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA77305,MD2A18AZ1DWB18961,2,26.05.2013,WA01,00DZ103W,11457,3700DZFS,1,8000,1,260,23.05.2014,7:12:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA83201,MD2A11CZ7DCC08959,3,29.06.2013,CH01,00DH155J,10836,3700DHFS,1,15000,1,260,23.05.2014,7:12:46,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85007,MD2A18AZ3DRC94389,2,19.06.2013,PT11,00DZ103W,10203,3700DZFS,1,8000,1,260,23.05.2014,7:14:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85088,MD2A18AZ3DRC95087,2,20.06.2013,PT11,00DZ104G,10759,3700DZFS,1,8000,1,260,23.05.2014,7:14:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85814,MD2A11CZ8DCC88577,3,18.06.2013,CH01,00DH155F,10076,3700DHFS,1,15000,1,260,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA86834,MD2A11CZ9DCB78511,3,13.06.2013,CH01,00DH155G,10076,3700DHFS,1,15000,1,260,23.05.2014,7:13:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA86856,MD2A11CZ9DCB80033,3,01.06.2013,CH01,00DH155J,10401,3700DHFS,1,15000,1,260,23.05.2014,7:13:12,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA87818,MD2A11CZ9DCC81735,2,01.06.2013,CH01,00DH155J,11460,3700DHFS,1,8000,1,260,23.05.2014,7:13:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA87941,MD2A11CZ9DCC86952,2,07.06.2013,CH01,00DH155F,10519,3700DHFS,1,8000,1,260,23.05.2014,7:13:29,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA89327,MD2A18AZ4DRC95776,3,20.06.2013,PT11,00DZ103W,11361,3700DZFS,1,15000,1,260,23.05.2014,7:14:29,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA89415,MD2A18AZ4DRC96524,3,21.06.2013,PT11,00DZ103W,10368,3700DZFS,1,15000,1,260,23.05.2014,7:14:31,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB08517,MD2A18AZ9DRC77953,3,04.06.2013,PT11,00DZ103W,10722,3700DZFS,1,15000,1,260,23.05.2014,7:15:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB12294,MD2A18AZXDRC03649,3,29.06.2013,PT11,00DZ103W,10155,3700DZFS,1,15000,1,260,23.05.2014,7:15:37,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB13456,MD2A18AZXDRC83535,3,08.06.2013,PT11,00DZ103W,11534,3700DZFS,1,15000,1,260,23.05.2014,7:18:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB13868,MD2A18AZXDRC87441,1,25.06.2013,PT11,00DZ103W,10247,3700DZFS,1,2000,1,60,23.05.2014,7:15:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB13898,MD2A18AZXDRC87732,1,30.06.2013,PT11,00DZ104G,10466,3700DZFS,1,2000,1,60,23.05.2014,7:15:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB13912,MD2A18AZXDRC87858,3,12.06.2013,PT11,00DZ104G,10322,3700DZFS,1,15000,1,260,23.05.2014,7:18:15,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB14356,MD2A18AZXDRC92008,1,15.06.2013,PT11,00DZ103W,11808,3700DZFS,1,2000,1,60,23.05.2014,7:15:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB15887,MD2A14AZ3DWC31514,3,15.06.2013,WA01,00PA093C,11501,3700PAFS,1,15000,1,260,23.05.2014,7:13:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB15957,MD2A22EZ0DCB38897,3,01.06.2013,CH01,00PD014M,10491,3700PDFS,1,15000,1,260,23.05.2014,7:16:12,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB16319,MD2A22EZ2DCB37766,2,03.06.2013,CH01,00PD012V,10321,3700PDFS,1,8000,1,260,23.05.2014,7:16:16,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB16492,MD2A22EZ2DCC41125,3,15.06.2013,CH01,00PD014M,11277,3700PDFS,1,15000,1,260,23.05.2014,7:16:19,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB16930,MD2A22EZ5DCB38992,2,07.06.2013,CH01,00PD014M,11482,3700PDFS,1,8000,1,260,23.05.2014,7:16:26,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB17414,MD2A22EZ7DCC40052,3,09.06.2013,CH01,00PD014M,10002,3700PDFS,1,15000,1,260,23.05.2014,7:18:29,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB17614,MD2A22EZ8DCC39928,1,10.06.2013,CH01,00PD014K,10514,3700PDFS,1,2000,1,60,23.05.2014,7:18:31,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB17797,MD2A22EZ9DCC40005,3,07.06.2013,CH01,00PD012V,11562,3700PDFS,1,15000,1,260,23.05.2014,7:16:36,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB17989,MD2A22EZXDCC40580,3,10.06.2013,CH01,00PD012V,10274,3700PDFS,1,15000,1,260,23.05.2014,7:16:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB18831,MD2A14AZ4DPC82286,3,27.06.2013,PT01,00PA093B,10771,3700PAFS,1,15000,1,260,23.05.2014,7:13:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB18868,MD2A36FZXDCC89961,3,11.06.2013,CH01,00JL025P,10047,3700JLFS,1,15000,1,260,23.05.2014,7:16:53,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB18980,MD2A14AZ4DPC83535,3,25.06.2013,PT01,00PA095E,11056,3700PAFS,1,15000,1,260,23.05.2014,7:13:58,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB25673,MD2A18AZXDRB72399,2,31.05.2013,PT11,00DZ104G,10993,3700DZFS,1,8000,1,260,23.05.2014,7:12:16,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB52554,MD2A11CZ6ECB89595,3,21.05.2014,CH01,00DH152V,11812,3700DHFS,1,15000,1,260,23.05.2014,7:19:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB52959,MD2A36FZ9ECB92980,3,21.05.2014,CH01,00JL025Y,11812,3700JLFS,1,15000,1,260,23.05.2014,7:20:05,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB66737,MD2A57AZ0EWB11435,2,15.05.2014,WA01,00PA133C,11206,3703PAFS,1,8000,1,260,23.05.2014,7:12:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB68824,MD2A11CZ0DCC94051,1,08.06.2013,CH01,00DH155J,11503,3700DHFS,1,2000,1,60,23.05.2014,7:12:26,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB68856,MD2A11CZ0DCC94373,2,09.06.2013,CH01,00DH155J,10745,3700DHFS,1,8000,1,260,23.05.2014,7:17:07,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB70909,MD2A18AZ0DRC81180,2,19.06.2013,PT11,00DZ103W,10761,3700DZFS,1,8000,1,260,23.05.2014,7:14:05,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB75716,MD2A11CZ3DCC97624,3,12.06.2013,CH01,00DH155F,10137,3700DHFS,1,15000,1,260,23.05.2014,7:12:37,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB77288,MD2A18AZ1DWB18703,2,27.05.2013,WA01,00DZ104G,10196,3700DZFS,1,8000,1,260,23.05.2014,7:12:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB77945,MD2A11CZ4DCC98457,3,14.06.2013,CH01,00DH155J,11729,3700DHFS,1,15000,1,260,23.05.2014,7:12:39,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB80291,MD2A11CZ6DCB75646,3,10.06.2013,CH01,00DH155F,10076,3700DHFS,1,15000,1,260,23.05.2014,7:12:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB80385,MD2A11CZ6DCC00691,3,17.06.2013,CH01,00DH155G,11322,3700DHFS,1,15000,1,260,23.05.2014,7:12:43,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB83134,MD2A11CZ7DCC08122,3,24.06.2013,CH01,00DH155J,11712,3700DHFS,1,15000,1,260,23.05.2014,7:12:46,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB84457,MD2A11CZ7DCC98632,3,15.06.2013,CH01,00DH155G,11277,3700DHFS,1,15000,1,260,23.05.2014,7:12:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB86065,MD2A11CZ8DCC91298,2,05.06.2013,CH01,00DH155J,10590,3700DHFS,1,8000,1,260,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB86113,MD2A11CZ8DCC91916,3,07.06.2013,CH01,00DH155J,11752,3700DHFS,1,15000,1,260,23.05.2014,7:13:01,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB86954,MD2A11CZ9DCC01236,2,17.06.2013,CH01,00DH155F,10200,3700DHFS,1,8000,1,260,23.05.2014,7:17:24,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB87314,MD2A11CZ9DCC05285,1,21.06.2013,CH01,00DH155J,11341,3700DHFS,1,2000,1,60,23.05.2014,7:13:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB87460,MD2A11CZ9DCC07036,3,29.06.2013,CH01,00DH155J,10224,3700DHFS,1,15000,1,260,23.05.2014,7:13:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB87629,MD2A11CZ9DCC08817,3,29.06.2013,CH01,00DH155G,10514,3700DHFS,1,15000,1,260,23.05.2014,7:17:28,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB92270,MD2A12DZ3DCC02533,3,17.06.2013,CH01,00DJ075F,10395,3700DJFS,1,15000,1,260,23.05.2014,7:13:40,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB92403,MD2A12DZ4DCC00998,1,07.06.2013,CH01,00DJ075J,11482,3700DJFS,1,2000,1,60,23.05.2014,7:13:42,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB93883,MD2A18AZ5DRC99514,3,25.06.2013,PT11,00DZ103W,10309,3700DZFS,1,15000,1,260,23.05.2014,7:14:36,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB94023,MD2A18AZ5DWC01566,1,18.06.2013,WA01,00DZ103W,10202,3700DZFS,1,2000,1,60,23.05.2014,7:14:39,,Data is not updated into GladMinds Server. Please contact GladMinds team
AB99922,MD2A18AZ7DRC76879,1,30.06.2013,PT11,00DZ104G,10956,3700DZFS,1,2000,1,60,23.05.2014,7:14:57,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC08086,MD2A18AZ9DRC04209,1,30.06.2013,PT11,00DZ103W,10722,3700DZFS,1,2000,1,60,23.05.2014,7:18:04,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC08282,MD2A18AZ9DRC75765,2,04.06.2013,PT11,00DZ103W,10829,3700DZFS,1,8000,1,260,23.05.2014,7:15:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC08557,MD2A18AZ9DRC78312,1,14.06.2013,PT11,00DZ104G,10157,3700DZFS,1,2000,1,60,23.05.2014,7:18:09,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC13873,MD2A18AZXDRC87505,2,12.06.2013,PT11,00DZ103W,10835,3700DZFS,1,8000,1,260,23.05.2014,7:15:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC14660,MD2A18AZXDRC94566,3,19.06.2013,PT11,00DZ104G,10993,3700DZFS,1,15000,1,260,23.05.2014,7:18:17,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC15346,MD2A18AZXDWC01949,2,30.06.2013,WA01,00DZ103W,10202,3700DZFS,1,8000,1,260,23.05.2014,7:16:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC15422,MD2A18AZXDWC02776,3,23.06.2013,WA01,00DZ103W,11177,3700DZFS,1,15000,1,260,23.05.2014,7:18:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC15796,MD2A14AZ5DWB19023,3,22.05.2013,WA01,00PA093C,10086,3700PAFS,1,15000,1,260,23.05.2014,7:12:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC16667,MD2A22EZ3DCC41120,2,14.06.2013,CH01,00PD014M,10000,3700PDFS,1,8000,1,260,23.05.2014,7:16:21,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC17238,MD2A22EZ6DCC40799,3,10.06.2013,CH01,00PD012V,10173,3700PDFS,1,15000,1,260,23.05.2014,7:18:29,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC18359,MD2A36FZ3DCC95052,2,12.06.2013,CH01,00JL025M,10670,3700JLFS,1,8000,1,260,23.05.2014,7:16:45,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC18444,MD2A36FZ4DCC95044,3,12.06.2013,CH01,00JL025M,10099,3700JLFS,1,15000,1,260,23.05.2014,7:18:36,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC18812,MD2A14AZ4DPC82109,1,26.06.2013,PT01,00PA093C,11011,3700PAFS,1,2000,1,60,23.05.2014,7:13:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC18885,MD2A36FZXDCC95257,3,18.06.2013,CH01,00JL025N,10928,3700JLFS,1,15000,1,260,23.05.2014,7:16:53,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC25310,MD2A18AZXDRB68708,1,31.05.2013,PT11,00DZ104G,10290,3700DZFS,1,2000,1,60,23.05.2014,7:12:14,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC39982,MD2A11CZ0DCB68451,3,22.05.2013,CH01,00DH155J,11749,3700DHFS,1,15000,1,260,23.05.2014,7:12:03,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC49803,MD2A18AZXEWB00167,3,17.05.2014,WA01,00DZ104G,11411,3700DZFS,1,15000,1,260,23.05.2014,7:18:59,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC50031,MD2A57AZXEWB11636,1,17.05.2014,WA01,00PA135R,10725,3703PAFS,1,2000,1,60,23.05.2014,7:18:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC50234,MD2A18AZ6EWB14499,1,18.05.2014,WA01,00DZ103W,10432,3700DZFS,1,2000,1,60,23.05.2014,7:19:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC50293,MD2A57AZ0EWB12360,2,18.05.2014,WA01,00PA133C,11543,3703PAFS,1,8000,1,260,23.05.2014,7:19:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC50343,MD2A57AZ2EWB13302,2,18.05.2014,WA01,00PA135W,10694,3703PAFS,1,8000,1,260,23.05.2014,7:19:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC50526,MD2A11CZXEWB32587,3,19.05.2014,WA01,00DH152V,10287,3700DHFS,1,15000,1,260,23.05.2014,7:19:30,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC52434,MD2A57AZ8EWB09965,3,20.05.2014,WA01,00PA135V,10257,3703PAFS,1,15000,1,260,23.05.2014,7:19:48,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC52551,MD2A11CZ6ECB86289,3,21.05.2014,CH01,00DH152V,11272,3700DHFS,1,15000,1,260,23.05.2014,7:19:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC52712,MD2A18AZ1EWB02101,2,21.05.2014,WA01,00DZ104G,10375,3700DZFS,1,8000,1,260,23.05.2014,7:20:09,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC53643,MD2A36FZ0ECB93015,1,22.05.2014,CH01,00JL025N,10316,3700JLFS,1,2000,1,60,23.05.2014,7:20:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC66796,MD2A57AZ2EWA01745,2,15.05.2014,WA01,00PA135W,11216,3703PAFS,1,8000,1,260,23.05.2014,7:12:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC70713,MD2A18AZ0DRC79414,1,05.06.2013,PT11,00DZ104G,10017,3700DZFS,1,2000,1,60,23.05.2014,7:17:42,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC70805,MD2A18AZ0DRC80269,2,08.06.2013,PT11,00DZ104G,10111,3700DZFS,1,8000,1,260,23.05.2014,7:17:42,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC71056,MD2A11CZ1DCC94723,3,09.06.2013,CH01,00DH155F,11746,3700DHFS,1,15000,1,260,23.05.2014,7:12:28,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC73443,MD2A11CZ2DCC97128,2,11.06.2013,CH01,00DH155F,10650,3700DHFS,1,8000,1,260,23.05.2014,7:12:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC73516,MD2A11CZ2DCC98263,3,14.06.2013,CH01,00DH155F,11729,3700DHFS,1,15000,1,260,23.05.2014,7:12:35,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC77345,MD2A18AZ1DWB19432,2,31.05.2013,WA01,00DZ104G,11510,3700DZFS,1,8000,1,260,23.05.2014,7:12:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC80382,MD2A18AZ2DRC90818,2,14.06.2013,PT11,00DZ103W,10089,3700DZFS,1,8000,1,260,23.05.2014,7:14:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC80419,MD2A11CZ6DCC01176,2,16.06.2013,CH01,00DH155J,10449,3700DHFS,1,8000,1,260,23.05.2014,7:12:43,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC84798,MD2A18AZ3DRC92609,3,18.06.2013,PT11,00DZ103W,10319,3700DZFS,1,15000,1,260,23.05.2014,7:14:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC87462,MD2A11CZ9DCC07053,3,24.06.2013,CH01,00DH155J,11562,3700DHFS,1,15000,1,260,23.05.2014,7:17:28,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC93747,MD2A18AZ5DRC98184,3,24.06.2013,PT11,00DZ103W,10912,3700DZFS,1,15000,1,260,23.05.2014,7:17:51,,Data is not updated into GladMinds Server. Please contact GladMinds team
AC99938,MD2A18AZ7DRC77031,3,04.06.2013,PT11,00DZ103W,10206,3700DZFS,1,15000,1,260,23.05.2014,7:18:00,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD02446,MD2A18AZ7DWB01274,1,20.06.2013,WA01,00DZ103F,10811,3700DZFS,1,2000,1,60,23.05.2014,7:15:00,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD03612,MD2A18AZ8DRC02242,1,27.06.2013,PT11,00DZ104G,11669,3700DZFS,1,2000,1,60,23.05.2014,7:15:11,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD10008,MD2A14AZ2DWC24246,1,03.06.2013,WA01,00PA095E,10858,3700PAFS,1,2000,1,60,23.05.2014,7:13:47,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD15394,MD2A18AZXDWC02356,3,17.06.2013,WA01,00DZ103F,10327,3700DZFS,1,15000,1,260,23.05.2014,7:16:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD15865,MD2A18AZXDWC07962,1,27.06.2013,WA01,00DZ103W,10173,3700DZFS,1,2000,1,60,23.05.2014,7:16:12,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD16011,MD2A22EZ0DCC39485,3,26.06.2013,CH01,00PD014K,11021,3700PDFS,1,15000,1,260,23.05.2014,7:18:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD16364,MD2A22EZ2DCC39374,3,27.06.2013,CH01,00PD012V,10990,3700PDFS,1,15000,1,260,23.05.2014,7:18:24,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD16755,MD2A22EZ4DCC39229,3,05.06.2013,CH01,00PD014K,10335,3700PDFS,1,15000,1,260,23.05.2014,7:16:24,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD16857,MD2A22EZ4DCC40929,3,11.06.2013,CH01,00PD014K,10400,3700PDFS,1,15000,1,260,23.05.2014,7:18:26,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD17086,MD2A22EZ5DCC41281,3,17.06.2013,CH01,00PD012V,10122,3700PDFS,1,15000,1,260,23.05.2014,7:16:28,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD18045,MD2A22EZXDCC41289,2,17.06.2013,CH01,00PD012V,10122,3700PDFS,1,8000,1,260,23.05.2014,7:16:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD18139,MD2A36FZ0DCC95073,3,12.06.2013,CH01,00JL025N,10092,3700JLFS,1,15000,1,260,23.05.2014,7:18:33,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD18819,MD2A36FZ9DCC95542,3,24.06.2013,CH01,00JL025Q,11662,3700JLFS,1,15000,1,260,23.05.2014,7:16:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD25315,MD2A18AZXDRB68742,1,28.05.2013,PT11,00DZ104G,10111,3700DZFS,1,2000,1,60,23.05.2014,7:12:14,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD25701,MD2A18AZXDRB72662,2,31.05.2013,PT11,00DZ103W,11649,3700DZFS,1,8000,1,260,23.05.2014,7:12:16,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD50553,MD2A12DZ4ECB96596,1,19.05.2014,CH01,00DJ072V,11690,3700DJFS,1,2000,1,60,23.05.2014,7:19:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD52153,MD2A37CZ2EWA02171,2,20.05.2014,WA01,00JZ083C,10473,3702JZFS,1,8000,1,260,23.05.2014,7:19:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD52524,MD2A11CZ1ECB89570,3,21.05.2014,CH01,00DH152V,11812,3700DHFS,1,15000,1,260,23.05.2014,7:19:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD52671,MD2A14AZ7EWB07456,2,21.05.2014,WA01,00PA095E,10694,3700PAFS,1,8000,1,260,23.05.2014,7:19:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD52922,MD2A36FZ5ECB93009,3,21.05.2014,CH01,00JL025Y,11272,3700JLFS,1,15000,1,260,23.05.2014,7:20:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD66844,MD2A57AZ3EWA07439,2,15.05.2014,WA01,00PA133C,11448,3703PAFS,1,8000,1,260,23.05.2014,7:12:21,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD71597,MD2A18AZ0DRC87691,1,15.06.2013,PT11,00DZ103W,11456,3700DZFS,1,2000,1,60,23.05.2014,7:14:07,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD71600,MD2A18AZ0DRC87710,1,27.06.2013,PT11,00DZ103W,11361,3700DZFS,1,2000,1,60,23.05.2014,7:14:07,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD77375,MD2A18AZ1DWB19687,2,28.05.2013,WA01,00DZ103W,11009,3700DZFS,1,8000,1,260,23.05.2014,7:12:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD93817,MD2A18AZ5DRC98878,3,24.06.2013,PT11,00DZ103W,10827,3700DZFS,1,15000,1,260,23.05.2014,7:14:34,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD94081,MD2A18AZ5DWC02085,3,16.06.2013,WA01,00DZ103W,10033,3700DZFS,1,15000,1,260,23.05.2014,7:17:53,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD95336,MD2A18AZ6DRC04054,1,29.06.2013,PT11,00DZ103W,10278,3700DZFS,1,2000,1,60,23.05.2014,7:14:39,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD97606,MD2A18AZ6DRC94533,3,20.06.2013,PT11,00DZ104G,10238,3700DZFS,1,15000,1,260,23.05.2014,7:14:44,,Data is not updated into GladMinds Server. Please contact GladMinds team
AD98491,MD2A18AZ6DWC03374,3,08.06.2013,WA01,00DZ104G,10871,3700DZFS,1,15000,1,260,23.05.2014,7:17:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
AE13031,MD2A18AZXDRC79565,3,07.06.2013,PT11,00DZ104G,10625,3700DZFS,1,15000,1,260,23.05.2014,7:15:40,,Data is not updated into GladMinds Server. Please contact GladMinds team
