UCN_NO,CHASSIS,SERVICE_TYPE,VEH_DIS_DT,WERKS,MATNR,KUNNR,PRODUCT_TYPE,KMS_FROM,KMS_TO,DAYS_LIMIT_FROM,DAYS_LIMIT_TO,CREATED_ON,CREATED_AT,STATUS,REMARKS
FD12138,MD2A18AZXDRC02226,1,27.06.2013,PT11,00DZ104G,10296,3700DZFS,1,2000,1,60,23.05.2014,7:18:09,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD14666,MD2A18AZXDRC94602,2,19.06.2013,PT11,00DZ104G,10832,3700DZFS,1,8000,1,260,23.05.2014,7:15:59,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD15385,MD2A18AZXDWC02261,3,18.06.2013,WA01,00DZ103W,10202,3700DZFS,1,15000,1,260,23.05.2014,7:16:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD16559,MD2A22EZ3DCC39187,2,04.06.2013,CH01,00PD012V,10224,3700PDFS,1,8000,1,260,23.05.2014,7:16:19,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD16705,MD2A22EZ3DCC41568,2,30.06.2013,CH01,00PD014K,10986,3700PDFS,1,8000,1,260,23.05.2014,7:16:21,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD17986,MD2A22EZXDCC40076,2,09.06.2013,CH01,00PD014K,10285,3700PDFS,1,8000,1,260,23.05.2014,7:16:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD18390,MD2A36FZ4DCB88267,3,17.06.2013,CH01,00JL025N,10209,3700JLFS,1,15000,1,260,23.05.2014,7:16:48,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD18472,MD2A36FZ4DCC95609,3,26.06.2013,CH01,00JL025P,11262,3700JLFS,1,15000,1,260,23.05.2014,7:16:48,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD39939,MD2A11CZ0DCB67963,1,21.05.2013,CH01,00DH155F,11631,3700DHFS,1,2000,1,60,23.05.2014,7:12:03,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD49041,MD2A52CZXDWC00606,1,29.06.2013,WA01,00PA073C,10092,3702PAFS,1,2000,1,60,23.05.2014,7:17:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD49306,MD2A14AZ4EWB06801,3,17.05.2014,WA01,00PA093C,11958,3700PAFS,1,15000,1,260,23.05.2014,7:18:43,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD49402,MD2A17CZ2EWB04804,1,17.05.2014,WA01,00JD025R,10725,3700JDFS,1,2000,1,60,23.05.2014,7:18:45,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD50389,MD2A57AZ6EWB12685,3,18.05.2014,WA01,00PA133F,11543,3703PAFS,1,15000,1,260,23.05.2014,7:19:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD52150,MD2A37CZ2EWA02137,2,20.05.2014,WA01,00JZ085R,10473,3702JZFS,1,8000,1,260,23.05.2014,7:19:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD52485,MD2A57AZXEWA05607,3,20.05.2014,WA01,00PA133C,10268,3703PAFS,1,15000,1,260,23.05.2014,7:19:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD52493,MD2A57AZXEWB09448,1,20.05.2014,WA01,00PA135V,10257,3703PAFS,1,2000,1,60,23.05.2014,7:19:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD53023,MD2A57AZ3EWB11431,3,21.05.2014,WA01,00PA133C,10396,3703PAFS,1,15000,1,260,23.05.2014,7:20:05,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD53490,MD2A18AZ6EWA00969,1,22.05.2014,WA01,00DZ104G,11411,3700DZFS,1,2000,1,60,23.05.2014,7:20:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD71074,MD2A11CZ1DCC94852,3,09.06.2013,CH01,00DH155J,10949,3700DHFS,1,15000,1,260,23.05.2014,7:12:30,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD71184,MD2A11CZ1DCC96083,3,11.06.2013,CH01,00DH155G,10594,3700DHFS,1,15000,1,260,23.05.2014,7:17:11,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD71628,MD2A18AZ0DRC87920,3,12.06.2013,PT11,00DZ104G,10705,3700DZFS,1,15000,1,260,23.05.2014,7:14:07,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD75185,MD2A18AZ1DRC81916,3,07.06.2013,PT11,00DZ103W,10098,3700DZFS,1,15000,1,260,23.05.2014,7:14:07,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD80301,MD2A11CZ6DCB76392,3,11.06.2013,CH01,00DH155F,10364,3700DHFS,1,15000,1,260,23.05.2014,7:12:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD80427,MD2A11CZ6DCC01291,1,16.06.2013,CH01,00DH155F,10361,3700DHFS,1,2000,1,60,23.05.2014,7:17:15,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD85798,MD2A11CZ8DCC88434,2,03.06.2013,CH01,00DH155J,10448,3700DHFS,1,8000,1,260,23.05.2014,7:12:58,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD86700,MD2A11CZ8DCC98980,1,15.06.2013,CH01,00DH155J,11713,3700DHFS,1,2000,1,60,23.05.2014,7:13:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD87124,MD2A11CZ9DCC03049,3,19.06.2013,CH01,00DH155G,10408,3700DHFS,1,15000,1,260,23.05.2014,7:13:16,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD87630,MD2A11CZ9DCC08820,3,29.06.2013,CH01,00DH155G,10514,3700DHFS,1,15000,1,260,23.05.2014,7:13:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD88013,MD2A11CZ9DCC87888,3,03.06.2013,CH01,00DH155J,10569,3700DHFS,1,15000,1,260,23.05.2014,7:17:31,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD92402,MD2A12DZ4DCC00998,3,07.06.2013,CH01,00DJ075J,11482,3700DJFS,1,15000,1,260,23.05.2014,7:13:42,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD98587,MD2A18AZ6DWC04525,2,15.06.2013,WA01,00DZ103W,10659,3700DZFS,1,8000,1,260,23.05.2014,7:14:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
FD99897,MD2A18AZ7DRC76669,1,20.06.2013,PT11,00DZ103W,10509,3700DZFS,1,2000,1,60,23.05.2014,7:14:57,,Data is not updated into GladMinds Server. Please contact GladMinds team
FE02504,MD2A18AZ7DWB19323,1,30.06.2013,WA01,00DZ104G,11824,3700DZFS,1,2000,1,60,23.05.2014,7:15:00,,Data is not updated into GladMinds Server. Please contact GladMinds team
