brand_id,brand_name,product_type,product_name
BAJAJ001,BAJAJ,PULSAR1,PULSAR
BAJAJ001,BAJAJ,NINJA1,NINJA
BAJAJ001,BAJAJ,PULSAR220,PULSAR220
