ASM Ticket No,Dealer Code,Dealer Name,City,Rg,tickets
47629,10247,P.L.MOTORS LTD.,JAIPUR,RJ,#N/A
47629,11321,SUNRISE MOTORS,JAIPUR,RJ,#N/A
47629,11662,SHREE SHYAM BAJAJ,Jaipur,RJ,#N/A
47629,10296,RAJA MOTORS,JODHPUR,RJ,#N/A
47629,10041,BOMBAY MOTOR COMPANY,JODHPUR,RJ,#N/A
47645,12093,UPPAL  AGENCIES,REWA,MP,#N/A
47645,10123,FOUZDAR FARM EQUIPMENTS,SATNA,MP,#N/A
47645,10395,UPPAL MOTORS,REWA,MP,#N/A
47645,10449,JAYSHREE TRADERS,SHAHDOL,MP,#N/A
47645,10463,K.P. MOTORS,KATNI,MP,#N/A
47645,10690,FRONTIER MOTORS,JABALPUR,MP,#N/A
47645,11408,FRONTIER MOTORS,JABALPUR,MP,#N/A
47645,11415,JAISWAL MOTORS,WAIDHAN,MP,#N/A
47645,11959,SATKAR AUTOMOBILES,NARSINGHPUR,MP,#N/A
47646,10058,AGARWAL SALES,BALLIA,UP,#N/A
47646,10147,HIMALAYA SCOOTERS,AZAMGARH,UP,#N/A
47646,10448,GANDHI AUTO SALES,PRATAPGARH,UP,#N/A
47646,10319,SOCIETY MOTORS LTD.,KANPUR,UP,47646
47646,10911,THE HIND BAJAJ,GHAZIPUR (U P),UP,#N/A
47646,10917,SINGH AUTO AGENCIES,ROBERTSGANJ DIST SONEBHADRA,UP,#N/A
47646,10633,SINGH AUTOMOBILES,FATHEPUR,UP,47646
47646,11347,DHANANJAY BAJAJ,BHADOHI,UP,#N/A
47646,11473,NIHARIKA AUTOMOBILES,JAUNPUR,UP,#N/A
47646,11043,WOODLAND AUTO WHEELS,JAUNPUR,UP,#N/A
47646,10963,UNITED AUTOMOBILES,ALLAHABAD,UP,#N/A
47646,12014,SINGHAL AUTO,AZAMGARH,UP,#N/A
47646,12051,CHANDRA BAJAJ,MAU,UP,#N/A
47646,12013,AGRAWAL MOTORS  ( TYRES ),MIRZAPUR,UP,#N/A
47646,10754,RNG Motors,KANPUR,UP,47646
